id,nombre,descripcion,categoria,precio,stock,imagen_url,activo,portada,tallas_disponibles,orden,created_at,updated_at
2,Vestido para playa 1,"Deshilado a mano, se puede utilizar en diferentes opciones",Vestido,500.00,2,"[""1.jpeg"",""1_1.jpeg"",""1_2.jpeg"",""1_3.jpeg""]",true,true,"[""UNITALLA""]",4,2026-03-19 05:12:12.837274+00,2026-03-19 05:12:12.837274+00
3,Conjunto 1,,Conjunto,700.00,10,"[""2.jpeg"",""2_1.jpeg"",""2_2.jpeg"",""2_3.jpeg""]",true,true,"[""UNITALLA""]",2,2026-03-20 02:51:35.052538+00,2026-03-20 02:51:35.052538+00
4,Conjunto 2,,Conjunto,700.00,10,"[""3.jpeg"",""3_1.jpeg""]",true,true,"[""UNITALLA""]",3,2026-03-20 03:47:27.672727+00,2026-03-20 03:47:27.672727+00
5,Vestido de playa 2,,Vestido,500.00,10,"[""4.jpeg"",""4_1.jpeg"",""4_2.jpeg""]",true,true,"[""UNITALLA""]",5,2026-03-20 03:48:36.831803+00,2026-03-20 03:48:36.831803+00
6,Falda 1,,Falda,400.00,10,"[""11.jpeg"",""11_1.jpeg""]",true,true,"[""UNITALLA""]",6,2026-03-20 03:50:58.054766+00,2026-03-20 03:50:58.054766+00
7,Conjunto 4,,Conjunto,600.00,10,"[""6.jpeg"",""6_1.jpeg"",""6_2.jpeg""]",true,true,"[""UNITALLA""]",7,2026-03-20 03:52:09.434658+00,2026-03-20 03:52:09.434658+00
8,Blusa,,Blusa,500.00,10,"[""7.jpeg"",""7_1.jpeg""]",true,true,"[""UNITALLA""]",8,2026-03-20 03:53:06.84947+00,2026-03-20 03:53:06.84947+00
9,Conjunto 5,,Conjunto,700.00,2,"[""8.jpeg"",""8_1.jpeg"",""8_2.jpeg"",""8_3.jpeg""]",true,true,"[""UNITALLA""]",9,2026-03-20 03:54:32.872564+00,2026-03-20 03:54:32.872564+00
10,Conjunto 6,,Conjunto,700.00,2,"[""9.jpeg""]",true,true,"[""UNITALLA""]",10,2026-03-20 03:55:36.694744+00,2026-03-20 03:55:36.694744+00
11,Vestido de playa 3,,Vestido,500.00,2,"[""1.jpeg""]",true,true,"[""UNITALLA""]",11,2026-03-20 03:56:29.94725+00,2026-03-20 03:56:29.94725+00
12,Falda 2,,Falda,500.00,2,"[""11.jpeg"",""11_1.jpeg""]",true,true,"[""UNITALLA""]",12,2026-03-20 03:57:06.070399+00,2026-03-20 03:57:06.070399+00
13,Falda 3,"Mide de largo 120 centímetros y de ancho 50 centímetros ",Falda,400.00,10,"[""12.jpeg""]",true,true,"[""UNITALLA""]",13,2026-03-20 03:58:15.002992+00,2026-03-20 03:58:15.002992+00
